Firm Name,Website,No.,Business Type,Company Name,Location,Founder(s)/Owner(s)/Director(s)
Tour Operator,,,,Bharat Tours,Nagpur,
Educational NGO,jnanaprabodhini.org,,,Jnana Prabodhini,Pune,Dr. V.V. Pendse
Educational Society,despune.org,,,Deccan Education Society,Pune,"Lokmanya Tilak, G.G. Agarkar"
Educational Society,,,,Shikshan Prasarak Mandali,Pune,
Educational Trust,fravashiacademy.com,,,Fravashi Academy,Nashik,R.S. Luth Education Trust
Educational Society,,,,Pravara Rural Education Society,Ahmednagar,Padmashri Vitthalrao Vikhe Patil
Educational Consultancy,,,,Real Education Management Services,Nashik,Subhash Suryawanshi
Educational Consultancy,,,,RudraInfotec (eHowindia Services P. Ltd),Ahmednagar,
Educational Consultancy,,,,Sunshine Job & Educational Consultancy,Ahmednagar,
Educational Consultancy,LinkedIn,,,PU Educational Services,Mumbai,
Educational NGO,parisarasha.com,,,Parisar Asha,Mumbai,Gloria De Souza
